2014-03-14 09:13:17  INFO | HHH000262: Table not found: metadata_network_indices
2014-03-14 09:13:17  INFO | HHH000262: Table not found: metadata_network_rule
2014-03-14 09:13:17  INFO | HHH000262: Table not found: metadata_network_rule_ip_ranges
2014-03-14 09:13:17  INFO | HHH000262: Table not found: metadata_private_addresses
2014-03-14 09:13:17  INFO | HHH000262: Table not found: metadata_snapshots
2014-03-14 09:13:17  INFO | HHH000262: Table not found: metadata_tags
2014-03-14 09:13:17  INFO | HHH000262: Table not found: metadata_tags_images
2014-03-14 09:13:17  INFO | HHH000262: Table not found: metadata_tags_instances
2014-03-14 09:13:17  INFO | HHH000262: Table not found: metadata_tags_network_groups
2014-03-14 09:13:17  INFO | HHH000262: Table not found: metadata_tags_snapshots
2014-03-14 09:13:17  INFO | HHH000262: Table not found: metadata_tags_volumes
2014-03-14 09:13:17  INFO | HHH000262: Table not found: metadata_volumes
2014-03-14 09:13:20  INFO | -> Setup done for persistence context: eucalyptus_cloud
2014-03-14 09:13:20  INFO | HHH000262: Table not found: metadata_imaging_tasks
2014-03-14 09:13:20  INFO | HHH000262: Table not found: metadata_import_instance_download_manifest_url
