cloud-output.log.4:Fri Oct 5 00:27:41 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:28:28 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:28:28 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:29:48 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:29:48 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:31:30 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:31:30 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:33:08 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:33:08 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:34:11 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:34:11 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:35:02 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:35:02 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:35:52 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:35:52 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:37:22 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:37:22 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:39:10 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:39:10 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:39:52 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:39:52 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:41:30 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:41:30 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:42:44 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:42:44 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:43:12 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:43:12 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:44:36 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:44:37 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:46:03 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:46:03 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:46:40 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:46:40 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:47:19 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:47:19 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:48:10 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:48:10 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:49:48 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:49:48 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:51:28 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:51:28 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:52:30 2012  INFO Broker                  | enabling VMware Broker
