2016-02-25 02:15:27 DEBUG 000001057 DnsResolvers             | DnsResolver: AAAA rhnsat.irad.net.
2016-02-25 02:15:27 DEBUG 000000988 DnsResolvers             | DnsResolver: A rhnsat.irad.net.
2016-02-25 02:15:27 DEBUG 000001038 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:27 DEBUG 000001024 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:27 DEBUG 000001068 DnsResolvers             | DnsResolver: A rhnsat.irad.net.
2016-02-25 02:15:27 DEBUG 000001007 DnsResolvers             | DnsResolver: AAAA rhnsat.irad.net.
2016-02-25 02:15:27 DEBUG 000001090 DnsResolvers             | DnsResolver: A rhnsat.irad.net.
2016-02-25 02:15:27 DEBUG 000001060 DnsResolvers             | DnsResolver: A goliath.goldlnk.rootlnka.net.
2016-02-25 02:15:27 DEBUG 000000990 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:27 DEBUG 000000996 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:27 DEBUG 000001052 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:27 DEBUG 000001072 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:28 DEBUG 000001027 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:28 DEBUG 000000971 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:28 DEBUG 000001030 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:28 DEBUG 000001063 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:28 DEBUG 000001021 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:28 DEBUG 000001025 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:29 DEBUG 000001050 DnsResolvers             | DnsResolver: AAAA cloudformation.cdc-west-1.devlnk.net.
2016-02-25 02:15:29 DEBUG 000001084 DnsResolvers             | DnsResolver: A imaging.cloud.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:29 DEBUG 000001022 DnsResolvers             | DnsResolver: AAAA imaging.cloud.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:29 DEBUG 000000979 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:29 DEBUG 000001055 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:30 DEBUG 000001058 DnsResolvers             | DnsResolver: A coreos-registry-backend.devlnk.net.
2016-02-25 02:15:30 DEBUG 000001077 DnsResolvers             | DnsResolver: AAAA coreos-registry-backend.devlnk.net.
2016-02-25 02:15:30 DEBUG 000000991 DnsResolvers             | DnsResolver: A coreos-registry-backend.devlnk.net.
2016-02-25 02:15:30 DEBUG 000001010 DnsResolvers             | DnsResolver: AAAA coreos-registry-backend.devlnk.net.
2016-02-25 02:15:31 DEBUG 000001039 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:31 DEBUG 000001064 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:31 DEBUG 000000982 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:31 DEBUG 000001091 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:31 DEBUG 000001082 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:31 DEBUG 000000967 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:31 DEBUG 000001092 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:31 DEBUG 000001020 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:31 DEBUG 000001093 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:31 DEBUG 000001013 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:31 DEBUG 000001009 DnsResolvers             | DnsResolver: A rhnsat.irad.net.
2016-02-25 02:15:31 DEBUG 000000968 DnsResolvers             | DnsResolver: AAAA rhnsat.irad.net.
2016-02-25 02:15:31 DEBUG 000001074 DnsResolvers             | DnsResolver: A rhnsat.irad.net.
2016-02-25 02:15:31 DEBUG 000001034 DnsResolvers             | DnsResolver: A rhnsat.irad.net.
2016-02-25 02:15:31 DEBUG 000001062 DnsResolvers             | DnsResolver: AAAA rhnsat.irad.net.
2016-02-25 02:15:31 DEBUG 000000973 DnsResolvers             | DnsResolver: A rhnsat.irad.net.
2016-02-25 02:15:32 DEBUG 000001061 DnsResolvers             | DnsResolver: AAAA cloudformation.cdc-west-1.devlnk.net.
2016-02-25 02:15:32 DEBUG 000001003 DnsResolvers             | DnsResolver: AAAA coreos-registry-backend.devlnk.net.
2016-02-25 02:15:32 DEBUG 000000974 DnsResolvers             | DnsResolver: A coreos-registry-backend.devlnk.net.
2016-02-25 02:15:32 DEBUG 000001032 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:32 DEBUG 000001008 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:32 DEBUG 000001012 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:32 DEBUG 000001016 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:32 DEBUG 000001036 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:32 DEBUG 000000986 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:33 DEBUG 000001040 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:33 DEBUG 000001087 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:33 DEBUG 000000981 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:33 DEBUG 000001014 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:33 DEBUG 000001054 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:33 DEBUG 000001088 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:34 DEBUG 000001005 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:34 DEBUG 000001051 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:34 DEBUG 000001029 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:34 DEBUG 000001018 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:34 DEBUG 000001081 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:34 DEBUG 000001083 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:34 DEBUG 000001035 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:34 DEBUG 000001023 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:34 DEBUG 000001044 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:34 DEBUG 000001028 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
